"Tipos_delito","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Delitos contra la vida o integridad de las personas",9626,8821,8140,8286,8571,9170,9933,9403,9533,11945,12430,11754
" Homicidios y femicidios",13,12,17,13,24,19,22,27,16,56,41,36
"  Homicidios",12,10,17,13,22,18,21,26,15,53,39,35
"  Femicidios",1,2,0,0,2,1,1,1,1,3,2,1
" Violaciones y delitos sexuales",509,413,417,504,522,618,658,700,818,1037,1025,922
"  Violaciones",89,84,87,119,92,126,127,169,165,198,195,187
"  Abusos sexuales",386,303,304,340,386,456,494,464,576,733,705,608
"  Acosos sexuales",0,0,0,0,0,0,0,44,58,83,76,83
"  Otros delitos sexuales",34,26,26,45,44,36,37,23,19,23,49,44
" Lesiones graves o gravísimas",398,404,309,276,255,289,346,285,270,321,310,322
" Lesiones menos graves",348,326,348,332,343,291,392,463,388,495,506,462
" Lesiones leves",3393,3022,2731,2830,2764,2830,2942,2297,2161,2821,3090,2993
" Amenazas",4965,4644,4318,4331,4663,5123,5573,5631,5880,7215,7458,7019
"Robos violentos",2228,2743,2775,2770,2777,2665,2707,2148,1699,2922,2926,2889
" Robos con violencia o intimidación",1385,1737,1708,1664,1680,1688,1857,1565,1246,2237,2178,2146
"  Robos con violencia o intimidación",1385,1737,1708,1664,1680,1688,1857,1539,1202,2109,2076,2006
"  Robo violento de vehículo motorizado",0,0,0,0,0,0,0,26,44,128,102,140
" Robo por sorpresa",843,1006,1067,1106,1097,977,850,583,453,685,748,743
"Violencia intrafamiliar",4919,4980,4394,4801,4826,4546,5084,5639,6190,6732,6740,6386
"  Violencia intrafamiliar con lesiones físicas",2377,2446,2164,2277,2292,2404,2606,2520,2488,2486,2497,2430
"  Violencia intrafamiliar con lesiones psicológicas",2524,2521,2220,2514,2511,2119,2421,3026,3601,4110,4119,3811
"  Maltrato habitual",0,0,0,0,0,8,40,72,91,121,107,118
"  Amenazas en contexto de violencia intrafamiliar",0,0,0,0,0,0,0,0,0,0,0,0
"  Violencia intrafamiliar no clasificada",18,13,10,10,23,15,17,21,10,15,17,27
"Delitos asociados a drogas",584,708,628,513,589,810,687,633,732,787,883,820
"  Tráfico de sustancias",105,103,79,59,71,110,125,129,166,142,179,171
