Region,Año,Tipos_delito,Ordenado_por,Familia_delito,Grupo_delito,Subgrupo_delito,Cantidad
Atacama,2013,Delitos contra la vida o integridad de las personas,Familia de delitos,Delitos contra la vida o integridad de las personas,NA,NA,5038
Atacama,2014,Delitos contra la vida o integridad de las personas,Familia de delitos,Delitos contra la vida o integridad de las personas,NA,NA,4276
Atacama,2015,Delitos contra la vida o integridad de las personas,Familia de delitos,Delitos contra la vida o integridad de las personas,NA,NA,3736
Atacama,2016,Delitos contra la vida o integridad de las personas,Familia de delitos,Delitos contra la vida o integridad de las personas,NA,NA,3708
Atacama,2017,Delitos contra la vida o integridad de las personas,Familia de delitos,Delitos contra la vida o integridad de las personas,NA,NA,3548
Atacama,2018,Delitos contra la vida o integridad de las personas,Familia de delitos,Delitos contra la vida o integridad de las personas,NA,NA,3717
Atacama,2019,Delitos contra la vida o integridad de las personas,Familia de delitos,Delitos contra la vida o integridad de las personas,NA,NA,4245
Atacama,2020,Delitos contra la vida o integridad de las personas,Familia de delitos,Delitos contra la vida o integridad de las personas,NA,NA,3805
Atacama,2021,Delitos contra la vida o integridad de las personas,Familia de delitos,Delitos contra la vida o integridad de las personas,NA,NA,3938
Atacama,2022,Delitos contra la vida o integridad de las personas,Familia de delitos,Delitos contra la vida o integridad de las personas,NA,NA,4836
Atacama,2023,Delitos contra la vida o integridad de las personas,Familia de delitos,Delitos contra la vida o integridad de las personas,NA,NA,4656
Atacama,2024,Delitos contra la vida o integridad de las personas,Familia de delitos,Delitos contra la vida o integridad de las personas,NA,NA,4316
Atacama,2013,Homicidios y femicidios,Grupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,NA,6
Atacama,2014,Homicidios y femicidios,Grupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,NA,11
Atacama,2015,Homicidios y femicidios,Grupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,NA,9
Atacama,2016,Homicidios y femicidios,Grupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,NA,7
Atacama,2017,Homicidios y femicidios,Grupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,NA,4
Atacama,2018,Homicidios y femicidios,Grupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,NA,14
Atacama,2019,Homicidios y femicidios,Grupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,NA,6
Atacama,2020,Homicidios y femicidios,Grupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,NA,8
Atacama,2021,Homicidios y femicidios,Grupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,NA,12
Atacama,2022,Homicidios y femicidios,Grupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,NA,12
Atacama,2023,Homicidios y femicidios,Grupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,NA,18
Atacama,2024,Homicidios y femicidios,Grupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,NA,18
Atacama,2013,Homicidios,Subgrupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,Homicidios,5
Atacama,2014,Homicidios,Subgrupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,Homicidios,11
Atacama,2015,Homicidios,Subgrupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,Homicidios,7
Atacama,2016,Homicidios,Subgrupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,Homicidios,7
Atacama,2017,Homicidios,Subgrupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,Homicidios,4
Atacama,2018,Homicidios,Subgrupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,Homicidios,13
Atacama,2019,Homicidios,Subgrupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,Homicidios,5
Atacama,2020,Homicidios,Subgrupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,Homicidios,7
Atacama,2021,Homicidios,Subgrupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,Homicidios,12
Atacama,2022,Homicidios,Subgrupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,Homicidios,12
Atacama,2023,Homicidios,Subgrupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,Homicidios,18
Atacama,2024,Homicidios,Subgrupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,Homicidios,17
Atacama,2013,Femicidios,Subgrupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,Femicidios,1
Atacama,2014,Femicidios,Subgrupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,Femicidios,0
Atacama,2015,Femicidios,Subgrupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,Femicidios,2
Atacama,2016,Femicidios,Subgrupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,Femicidios,0
Atacama,2017,Femicidios,Subgrupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,Femicidios,0
Atacama,2018,Femicidios,Subgrupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,Femicidios,1
Atacama,2019,Femicidios,Subgrupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,Femicidios,1
Atacama,2020,Femicidios,Subgrupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,Femicidios,1
Atacama,2021,Femicidios,Subgrupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,Femicidios,0
Atacama,2022,Femicidios,Subgrupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,Femicidios,0
Atacama,2023,Femicidios,Subgrupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,Femicidios,0
Atacama,2024,Femicidios,Subgrupo,Delitos contra la vida o integridad de las personas,Homicidios y femicidios,Femicidios,1
Atacama,2013,Violaciones y delitos sexuales,Grupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Femicidios,245
Atacama,2014,Violaciones y delitos sexuales,Grupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Femicidios,205
Atacama,2015,Violaciones y delitos sexuales,Grupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Femicidios,165
Atacama,2016,Violaciones y delitos sexuales,Grupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Femicidios,171
Atacama,2017,Violaciones y delitos sexuales,Grupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Femicidios,205
Atacama,2018,Violaciones y delitos sexuales,Grupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Femicidios,236
Atacama,2019,Violaciones y delitos sexuales,Grupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Femicidios,286
Atacama,2020,Violaciones y delitos sexuales,Grupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Femicidios,306
Atacama,2021,Violaciones y delitos sexuales,Grupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Femicidios,357
Atacama,2022,Violaciones y delitos sexuales,Grupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Femicidios,403
Atacama,2023,Violaciones y delitos sexuales,Grupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Femicidios,396
Atacama,2024,Violaciones y delitos sexuales,Grupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Femicidios,385
Atacama,2013,Violaciones,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Violaciones,48
Atacama,2014,Violaciones,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Violaciones,44
Atacama,2015,Violaciones,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Violaciones,36
Atacama,2016,Violaciones,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Violaciones,40
Atacama,2017,Violaciones,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Violaciones,38
Atacama,2018,Violaciones,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Violaciones,46
Atacama,2019,Violaciones,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Violaciones,56
Atacama,2020,Violaciones,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Violaciones,70
Atacama,2021,Violaciones,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Violaciones,83
Atacama,2022,Violaciones,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Violaciones,75
Atacama,2023,Violaciones,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Violaciones,86
Atacama,2024,Violaciones,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Violaciones,88
Atacama,2013,Abusos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Abusos sexuales,178
Atacama,2014,Abusos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Abusos sexuales,144
Atacama,2015,Abusos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Abusos sexuales,120
Atacama,2016,Abusos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Abusos sexuales,111
Atacama,2017,Abusos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Abusos sexuales,150
Atacama,2018,Abusos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Abusos sexuales,170
Atacama,2019,Abusos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Abusos sexuales,201
Atacama,2020,Abusos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Abusos sexuales,196
Atacama,2021,Abusos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Abusos sexuales,231
Atacama,2022,Abusos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Abusos sexuales,288
Atacama,2023,Abusos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Abusos sexuales,253
Atacama,2024,Abusos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Abusos sexuales,252
Atacama,2013,Acosos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Acosos sexuales,0
Atacama,2014,Acosos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Acosos sexuales,0
Atacama,2015,Acosos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Acosos sexuales,0
Atacama,2016,Acosos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Acosos sexuales,0
Atacama,2017,Acosos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Acosos sexuales,0
Atacama,2018,Acosos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Acosos sexuales,0
Atacama,2019,Acosos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Acosos sexuales,4
Atacama,2020,Acosos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Acosos sexuales,27
Atacama,2021,Acosos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Acosos sexuales,23
Atacama,2022,Acosos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Acosos sexuales,27
Atacama,2023,Acosos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Acosos sexuales,34
Atacama,2024,Acosos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Acosos sexuales,26
Atacama,2013,Otros delitos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Otros delitos sexuales,19
Atacama,2014,Otros delitos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Otros delitos sexuales,17
Atacama,2015,Otros delitos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Otros delitos sexuales,9
Atacama,2016,Otros delitos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Otros delitos sexuales,20
Atacama,2017,Otros delitos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Otros delitos sexuales,17
Atacama,2018,Otros delitos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Otros delitos sexuales,20
Atacama,2019,Otros delitos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Otros delitos sexuales,25
Atacama,2020,Otros delitos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Otros delitos sexuales,13
Atacama,2021,Otros delitos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Otros delitos sexuales,20
Atacama,2022,Otros delitos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Otros delitos sexuales,13
Atacama,2023,Otros delitos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Otros delitos sexuales,23
Atacama,2024,Otros delitos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Otros delitos sexuales,19
