"Region","Tipos_delito","Ordenado_por","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Atacama","Delitos contra la vida o integridad de las personas","Familia de delitos",5038,4276,3736,3708,3548,3717,4245,3805,3938,4836,4656,4316
"Atacama","Robos violentos","Familia de delitos",1078,1301,1188,1211,1012,1068,1124,838,750,1408,1403,1378
"Atacama","Violencia intrafamiliar","Familia de delitos",2693,2302,2031,2266,2125,2062,2380,2206,2620,2567,2605,2389
"Atacama","Delitos asociados a drogas","Familia de delitos",241,253,265,228,282,455,417,328,357,443,497,433
"Atacama","Delitos asociados a armas","Familia de delitos",288,370,285,449,471,526,471,277,216,287,365,336
"Atacama","Delitos contra la propiedad no violentos","Familia de delitos",7722,8140,6980,7066,6775,7007,7454,5227,3539,6148,6609,5845
"Atacama","Incivilidades","Familia de delitos",10718,9796,8446,8178,8134,8994,9800,7336,7063,6249,6203,5154
"Atacama","Otros delitos o faltas","Familia de delitos",10297,9771,9607,10655,11178,10165,12009,11972,11212,10901,10947,13180
"Coquimbo","Delitos contra la vida o integridad de las personas","Familia de delitos",9626,8821,8140,8286,8571,9170,9933,9403,9533,11945,12430,11754
"Coquimbo","Robos violentos","Familia de delitos",2228,2743,2775,2770,2777,2665,2707,2148,1699,2922,2926,2889
"Coquimbo","Violencia intrafamiliar","Familia de delitos",4919,4980,4394,4801,4826,4546,5084,5639,6190,6732,6740,6386
"Coquimbo","Delitos asociados a drogas","Familia de delitos",584,708,628,513,589,810,687,633,732,787,883,820
"Coquimbo","Delitos asociados a armas","Familia de delitos",726,736,612,511,1253,1587,776,447,509,925,902,1284
"Coquimbo","Delitos contra la propiedad no violentos","Familia de delitos",16208,16825,16169,16842,17403,16267,16802,11877,10475,14359,16058,16598
"Coquimbo","Incivilidades","Familia de delitos",16857,17367,15659,16449,20672,27231,28848,22001,19727,18014,17001,17543
"Coquimbo","Otros delitos o faltas","Familia de delitos",15466,16496,15767,18506,20219,21990,24428,29712,25259,25259,25032,31295
