"Region","Tipos_delito","Ordenado_por","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Atacama","Homicidios","Subgrupo",5,11,7,7,4,13,5,7,12,12,18,17
"Atacama","Femicidios","Subgrupo",1,0,2,0,0,1,1,1,0,0,0,1
"Atacama","Violaciones","Subgrupo",48,44,36,40,38,46,56,70,83,75,86,88
"Atacama","Abusos sexuales","Subgrupo",178,144,120,111,150,170,201,196,231,288,253,252
"Atacama","Acosos sexuales","Subgrupo",0,0,0,0,0,0,4,27,23,27,34,26
"Atacama","Otros delitos sexuales","Subgrupo",19,17,9,20,17,20,25,13,20,13,23,19
"Atacama","Robos con violencia o intimidación","Subgrupo",623,800,721,832,698,725,824,614,557,1038,1108,1008
"Atacama","Robo violento de vehículo motorizado","Subgrupo",0,0,0,0,0,0,0,22,31,54,51,33
"Atacama","Violencia intrafamiliar con lesiones físicas","Subgrupo",1232,1161,1098,1110,1098,1114,1208,1123,1203,1160,1118,946
"Atacama","Violencia intrafamiliar con lesiones psicológicas","Subgrupo",1425,1124,916,1150,1018,928,1104,1014,1351,1334,1398,1320
"Atacama","Maltrato habitual","Subgrupo",0,0,0,0,0,6,50,49,50,58,71,97
"Atacama","Amenazas en contexto de violencia intrafamiliar","Subgrupo",0,0,0,0,1,0,0,0,0,0,0,0
"Atacama","Violencia intrafamiliar no clasificada","Subgrupo",36,17,17,6,8,14,18,20,16,15,18,26
"Atacama","Tráfico de sustancias","Subgrupo",100,103,100,74,105,129,128,82,88,91,84,86
"Atacama","Microtráfico de sustancias","Subgrupo",79,112,107,113,136,263,236,198,186,230,273,200
"Atacama","Elaboración o producción de sustancias","Subgrupo",4,10,15,14,11,26,18,17,12,6,7,3
"Atacama","Otras infracciones a la ley de drogas","Subgrupo",58,28,43,27,30,37,35,31,71,116,133,144
"Atacama","Disparo injustificado","Subgrupo",0,0,0,0,0,1,3,4,16,17,13,8
"Atacama","Porte / posesión de armas o explosivos","Subgrupo",28,40,36,33,43,56,34,42,44,68,71,77
"Atacama","Otras infracciones a la ley de armas","Subgrupo",59,86,55,203,206,230,195,121,84,59,87,120
"Atacama","Robo en lugar habitado","Subgrupo",1405,1297,1392,1299,1331,1297,1441,1075,686,1192,1116,944
"Atacama","Robos en lugar no habitado","Subgrupo",1117,1405,1336,1346,1492,1333,1485,1084,730,1403,1510,1199
"Atacama","Robo de vehículo motorizado","Subgrupo",382,473,275,355,342,319,292,200,199,346,321,382
"Atacama","Robo de objetos de o desde vehículo","Subgrupo",804,979,754,792,702,755,646,520,360,820,1212,1119
"Atacama","Amenaza con armas (falta)","Subgrupo",70,65,52,54,54,41,64,62,63,67,67,56
"Atacama","Riña Pública","Subgrupo",261,212,190,168,184,164,156,114,88,109,112,70
"Atacama","Consumo de drogas en la vía pública","Subgrupo",472,355,367,352,469,485,366,62,92,105,150,96
"Atacama","Porte de drogas","Subgrupo",246,168,135,79,92,78,29,13,5,11,23,23
"Atacama","Otras faltas a la ley de drogas","Subgrupo",0,0,0,0,0,0,0,0,0,0,0,0
"Atacama","Consumo de alcohol en la vía pública","Subgrupo",4744,5026,4182,4021,3909,4371,4316,1838,1365,1591,2019,1287
"Atacama","Animales sueltos en la vía pública","Subgrupo",86,98,79,45,93,137,170,106,154,175,168,164
